Número,Nome
1,"Grande Tu és, ó Pai"
2,Grandioso é o nosso Deus
3,Alegrei-me quando me disseram
4,Grandioso és Tu
5,É bom louvar ao Criador
6,O Senhor seja louvado
7,Bendito o Rei que veio do céu!
8,"Bendize, ó minha alma"
9,A minha alma deseja ver-Te
10,Jesus habita em meu coração
11,"Ó Senhor glorioso, Deus da perfeição"
12,Cristo nos dará da Sua plenitude
13,"Profundo é o saber de Deus, Criador"
14,"Foi alegre, ditoso o dia!"
15,"Ó Senhor, és minha Vida"
16,"Em Ti me alegro, Senhor"
17,Glória sem par
18,A história do Evangelho
19,"Ó irmãos, por fé louvemos a Jesus"
20,"Graças dou a Ti, ó bom Deus"
21,Cristo é Luz resplandecente
22,"Conserva a paz, ó minha alma"
23,O Senhor é o meu Pastor
24,Testemunhas verazes nós somos
25,Salvo estou por Jesus
26,"Nome glorioso, o de Jesus!"
27,A voz de Cristo te convida: Vem!
28,Grande festa haverá nos céus
29,Galardão nos espera
30,Quão bom e quão suave é
31,"Pai nosso, que estás nos céus"
32,Ouve a nossa oração
33,Do mal o Salvador veio me tirar
34,"Julga-me, Senhor"
35,Bendito seja o Deus vivente
36,Louvor nos céus altíssimos
37,Soa a trombeta
38,Louvarei ao bom Jesus
39,"Vamos, ó irmãos, marchar"
40,É Cristo Quem cuida de ti
41,Sião celestial
42,"Eis-me, Senhor, ao Teus pés"
43,"Senhor, vem selar-nos"
44,Se a nossa vida entregarmos a Jesus
45,Tu és Oleiro
46,Sentes bater eu teu coração?
47,Contempla do céu
48,Eu almejo nessa pátria entrar
49,Cansado estás? Vem a Jesus
50,Longe do mal e perto de Ti
51,Jesus é a Luz que veio ao mundo
52,Por preço elevado Jesus resgatou-me
53,Amo ao Senhor
54,"Cristo Jesus, nosso bom Pastor"
55,Aos Teus pés me apresento
56,Foi Jesus Quem me salvou
57,Mais grato a Ti
58,"Teu amor, ó Cordeiro divinal"
59,Na plenitude estarei
60,É Jesus meu Refúgio
61,"Provemos, irmãos, do amor do Senhor"
62,"Quero, ó Senhor, ir Contigo ao céu"
63,Jesus Cristo habita em nós
64,"Cristo, Luz do mundo"
65,O Senhor Jesus passava
66,Vivo por Cristo
67,Meu lar está no céu
68,Eu vivia no pecado
69,Brilha mais e mais
70,"Vem, ó Senhor bondoso"
71,Vinde às bodas
72,Que gloriosa Esperança é Jesus!
73,O Mestre que desceu dos céus
74,Volta ao teu lar Paternal!
75,Graça maravilhosa
76,"Porfiemos, irmãos, por entrar nos céus"
77,Abrigado em Jesus
78,"Com Jesus, eternamente viverei"
79,Ó alma que choras
80,Gloriosa é a história
81,Terá que renascer
82,"Semearei, semearei"
83,Jerusalém celestial!
84,Quão amável é a Tua casa
85,"Vem, ó Senhor, ajudar-me"
86,Nas moradas do Senhor
87,A vida eterna
88,Regozijo-me em falar do Salvador
89,Jesus me deu celeste hino
90,Vivo na graça
91,No esconderijo do Onipotente
92,"Teu servo ouve; fala, Senhor"
93,"Ó Salvador, vem converter o pecador"
94,"Ó bom Jesus, meu caro Jesus"
95,"Trema o céu, a terra, o mar"
96,"Como foi para os céus, assim virá"
97,Para o céu marchemos
98,O Mestre habita em mim
99,Novos céus nós aguardamos
100,O Senhor é sempiterno
101,"Por Cristo, resgatado"
102,Oh! Que preciosa paz
103,Oh! Vem a Jesus
104,A Palavra do Senhor
105,"Nós Te louvamos, ó Rei dos reis"
106,Tudo entende o Salvador
107,Creio nas fiéis promessas do meu Deus
108,"Olha a Cristo, o Redentor"
109,Glória e louvor a Jesus darei
110,Bênçãos dos céus prometidas
111,Luminosa é a senda
112,Fiel Salvador é Jesus
113,Em nome de Jesus
114,O Senhor é minha Luz
115,"Cristo, o Verbo"
116,Um tesouro glorioso achei
117,Na cidade santa
118,Prossegui vitoriosos em Cristo
119,Se fores tentado
120,Cristo é a Esperança
121,Do mal apartados devemos estar
122,Oh! Quanto é bom louvarmos
123,"Aos Teus pés estou, Senhor"
124,Põe em Deus a confiança
125,Minha oração
126,"Oh! Marchai, soldados"
127,Quão fiel promessa Jesus nos fez
128,Irmãos amados
129,É estreita a porta para a salvação
130,O Senhor não mudará
131,"Só em Cristo, só em Cristo"
132,Sempre brilhar devemos
133,Só o sangue precioso e expiador
134,"Eu desejo, Senhor"
135,Sinto viva esperança
136,"Senhor, conforta meu coração"
137,Promessa excelente
138,Glória! Aleluia! Sinto Jesus
139,A vida deu por ti
140,Há uma pátria perfeita
141,Com meu Redentor viverei nos céus
142,Sempre a Cristo fiéis
143,Vem a Cristo sem tardar
144,Eleitos nós somos
145,"Senhor, Tu és a minha Esperança"
146,"Irmãos, já resgatados"
147,"""Sou a Videira"""
148,Ouve a voz que te convida
149,Vem atender ao Seu chamado
150,"Vigiai, irmãos"
151,Deus amou o mundo
152,Pela morte de Jesus
153,Faz-me mais perseverante
154,O Senhor Jesus te chama
155,"Irmãos amados, sempre avante"
156,"Em Cristo espera, sem vacilar"
157,Que bela herança!
158,Sigamos sempre ao Senhor
159,A Rocha celestial
160,Aos pés de Deus estamos
161,Só por Cristo temos salvação
162,A Palavra preciosa
163,"Senhor Jesus, Tu é o meu Rochedo"
164,"Senhor, a Tua igreja"
165,"Oh! Não temas, igreja de Jesus"
166,"Avante, santos e fiéis de Deus"
167,Vamos produzir frutos de louvor
168,Em nome do nosso Redentor
169,Brevemente virá o Senhor Jesus
170,"Ó irmãos, com Cristo avante"
171,É Jesus o nosso Intercessor
172,"Avante, sempre avante"
173,Cristo entrou nos céus primeiro
174,"""Vós chorareis e vos lamentareis"""
175,Remiu-nos por graça
176,No Calvário...
177,"Pai eternal, envia dos céus"
178,Glória a Jesus! Glória a Jesus!
179,"Oh! Vem, sim, vem"
180,A graça inefável de Deus
181,Vou encontrar meu Deus
182,De Deus a armadura
183,"Senhor, estou disposto"
184,Têm os santos do Senhor
185,Sublime é o perdão!
186,Cristo quer salvar
187,Sempre avante!
188,Louvemos ao Rei dos reis
189,Firme nas mãos de Cristo
190,O meu vero Amigo é Jesus
191,Em breve ao céu irei
192,"Senhor, à Tua presença"
193,Redentor celeste e santo
194,Recordemo-nos sempre do Mestre
195,Anunciai o santo Evangelho (Batismo)
196,Louvemos ao nosso Senhor
197,"Por fé, recebe o grande Mestre"
198,Um peregrino sou aqui
199,Cristo salvou-me
200,Para ouvir aqui estamos
201,"Vamos, unidos, a Deus louvar"
202,"Só Jesus Cristo, santo Cordeiro"
203,Tua vida é triste?
204,Creio no Senhor
205,Pela fé uma vez
206,"Eu me escondo em Ti, Senhor"
207,Cristo Jesus é a Porta dos céus
208,Salvação! Salvação!
209,Levemos a mensagem de amor
210,"Se, de Cristo, o Nome amares"
211,O santo Evangelho
212,Brevemente retornará Jesus Cristo
213,Peregrino sou no mundo
214,Neste mundo de ilusão
215,"Meu bom Jesus, Contigo almejo estar"
216,Não me cansarei de cantar
217,Nos resgatou e nos lavou
218,Aceitando ao Senhor
219,"Oh! Jubilemos, devotos de Cristo"
220,"Por Ti vivo, ó Deus potente"
221,Igual ao Mestre!
222,Reunidos nós estamos
223,"Todos juntos, jubilemos"
224,Confiarei sempre no Senhor
225,Eis que vem o Verdadeiro
226,"Ó Criador, forte Rocha és"
227,A descida do Espírito Santo
228,"Jesus Cristo, fiel Cordeiro"
229,"Mui breve virá, mui breve virá"
230,Não mais oprimidos seremos
231,Louvemos sempre alegres
232,Venho à casa do Senhor
233,Manda os Teus dons celestes
234,A Ti rendemos graças (Encerramento)
235,"Ó irmãos, a Deus devemos"
236,A Caridade
237,"Senhor, preciso mais"
238,"Ressuscitados, por graça, fomos"
239,Deus mandou Sua Luz
240,Só Jesus concede paz e salvação
241,Soldados valorosos nós somos
242,"Glória ao Justo, fiel Cordeiro!"
243,"Ó igreja de Deus, resplandece"
244,Sem Deus Pai
245,"Senhor, por Teu poder"
246,Lá no céu cantaremos
247,Cristo Jesus tudo pode
248,Louvemos ao bom Jesus
249,Eu necessito achegar-me
250,É Jesus a Fonte de riqueza
251,Quem sustenta a nossa vida
252,Eis que vem Jesus
253,Só Jesus é Amigo verdadeiro
254,Sinto a voz divina do meu fiel Pastor
255,Ao que vive para sempre...
256,"Ó minha alma, por que te abates?"
257,"Vem a Jesus, ó alma errante"
258,Deste mundo mais nada esperarei
259,"Tu, que vives sem destino"
260,"Louvor a Deus, o Criador"
261,"Ó Senhor, vem visitar-me"
262,O fim de tudo chegará
263,Luz aos meus pés é a Tua Palavra
264,"Glória a Jesus, Aleluia!"
265,Oh! Quanto é bom o Redentor!
266,"""Sou o Caminho, a Verdade e a Vida"""
267,"A Ti, Deus, eu consagrei-me"
268,Oh! Quanto nos amas-te!
269,"Com Jesus, a Esperança"
270,Éramos mortos nas obras más
271,"Dá-me graça, Senhor"
272,"Um grande bem, precioso bem"
273,Não tardará a volta do Senhor
274,"Pródigo filho, vai!"
275,O sangue precioso
276,Na cruz morreu o Cordeiro
277,Um culto santo ao Senhor (Encerramento)
278,Sou feliz
279,Cristo é a Estrela
280,Do sepulcro ressurgiu triunfante
281,Vinde às fileiras
282,"Da igreja, fiel Fundamento é Jesus"
283,"Fui, Senhor, por Ti remido"
284,Avante eu vou
285,"Sem Deus Pai, vivi no mundo"
286,"Muitos, por fé, aceitaram Jesus"
287,Vamos lançar a semente
288,Oh! Que fundamento
289,"Sem tardar, vai a Cristo"
290,Cristo Jesus Sua mão me dá
291,Eis que a noite é passada
292,Procuras tu ao Salvador?
293,"Irmãos, amemos ao Senhor"
294,Cristo Supremo
295,Foi o Senhor Jesus
296,Jesus é a nossa Rocha
297,"Guia-me, ó Senhor"
298,"Ó Jesus, por nós morreste"
299,Quando vier do céu
300,Ó Pai celestial
301,O Teu precioso sangue
302,Manda-nos Teu Poder
303,Deus nos guarde
304,Só triunfará o de sincero coração
305,Oh! Grande Deus
306,Soldados somos do Senhor
307,Há um lugar de eterna paz
308,"Grande é o Teu poder, Senhor"
309,O divinal Cordeiro
310,Teus tesouros revelaste
311,Teu Espírito derrama
312,Trabalhai! Trabalhai!
313,No mundo sou peregrino
314,A Palavra do Senhor é Pão celestial
315,"Recorda, por fé, minha alma"
316,Tudo o que nos falta
317,"Oh! Não busques, ansioso"
318,Luz eternal é Jesus
319,Teu destino é a glória
320,Benignidade eterna é a de Deus
321,A minha alma
322,Santo! Santo! Santo!
323,"Clama ao Mestre, Cristo Jesus"
324,Nossa cruz tomemos
325,A família de Jesus
326,A jornada farei
327,Ó Senhor da glória
328,Ó Deus bendito
329,"Teu filho sou, ó Criador"
330,Nós somos luz do mundo
331,"Sinto o Senhor, por fé, em mim"
332,O teu coração vem a Cristo entregar
333,Cristo intercede por ti
334,Deus é por mim
335,Quanto em mim Tu operaste
336,Nosso Pai celeste sabe e provê
337,"Santo, Santo és, Senhor"
338,Minha alma engrandece
339,Nome precioso para mim
340,Oh! Que grande amor!
341,Bom é estarmos nós aqui
342,Jesus é o nosso Guia
343,"Cantemos, juntos, louvores a Deus"
344,"Irmãos, avante, avante!"
345,Com fé espera no Senhor
346,Paz seja em vós
347,Pela fé tereis vitória
348,Água viva
349,Por fé seguimos ao Senhor
350,Arrebatado aos céus
351,A Justiça divina
352,De Jesus a graça divina
353,"Teu Nome é soberano, ó Redentor"
354,O meu ser entrego a Cristo
355,Avante! Coragem! Marchemos
356,"Jesus Cristo, meu Senhor"
357,"Se vós baterdes, Ele vos abre"
358,"Senhor, Tu és a minha Porção"
359,Foi por mim que morreste
360,De Deus tu és eleita
361,"Ontem, hoje e eternamente"
362,Vida eterna! Vida eterna!
363,"Ó Jesus, és meu Guardião"
364,Que prazer é andar com Cristo
365,"Nós Te louvamos, por fé, grande Deus"
366,"""Não se turbe o vosso coração"""
367,Sempre em Jesus confiarei
368,"Vem, Rei eterno"
369,Teu sangue imaculado
370,Jamais esquecerei Tua mercê
371,"No céu, Senhor, no céu"
372,"Avante sempre, sem temer!"
373,"Cristo Jesus, o Redentor"
374,Constantemente oremos a Deus
375,Ao findar a jornada
376,"""Vinde, ó benditos de Meu Pai"""
377,"Vem, vem consolar-me"
378,Salvo por Seu poder
379,Cristo voltará
380,"""Vinde a Mim!"""
381,Forte Rocha
382,Nossa Esperança é Jesus
383,Os tempos já chegados são
384,O meu socorro vem do Senhor
385,Tu és o Amigo
386,"Ó Senhor Jesus, eu recorro a Ti"
387,"Ó irmãos, de Deus diletos"
388,Faz-nos ouvir Tua voz
389,Não pode entender o mundo
390,Eis que multidão mui grande
391,Com fé combate
392,Sou crente em Jesus
393,Foi no Calvário
394,Jesus Cristo é o Pão celeste (Santa Ceia)
395,"""Fazei isto em memória de Mim"" (Santa Ceia)"
396,"Senhor, recordamos aqui (Santa Ceia)"
397,"Lá no céu, o lar de amor (Funeral)"
398,Os que no Senhor dormiram (Funeral)
399,"Preciosa é, aos olhos do Criador (Funeral)"
400,A trombeta soará (Funeral)
401,"Bênçãos, bênçãos Deus derramará"
402,"Granjeai, granjeai os talentos"
403,"O meu nome no céu escreveste, Senhor"
404,"Vós, ó jovens do Senhor"
405,Cedo retorna o Senhor
406,Que grande bem é andar com Cristo!
407,Breve voltará Jesus Cristo
408,Os meninos viram Jesus passar
409,Lembra-te do Teu Criador!
410,Consagrados sejamos a Deus
411,Toda a criança
412,"""Deixai a Mim vir os pequeninos..."""
413,"Ó Jesus, quanto és piedoso!"
414,Se eu for aqui provado
415,"Ó meninos, exaltemos"
416,"Ó meninos, Deus vos convida"
417,Oh! Glória! Bendito é o Senhor!
418,"Senhor, com Tua voz me chamas"
419,Jesus Cristo é o Amigo celestial
420,Alegria sinto em servir Jesus
421,"Vinde, crianças"
422,Deus tem por nós imenso amor
423,"Paz, sublime paz"
424,Vamos com Jesus
425,Somos jóias preciosas
426,"Jesus, ó divinal Pastor"
427,Somos jovens consagrados
428,Vamos todos juntos cantar
429,A minha alma sente paz no Senhor
430,"Ó Senhor, Tu me conheces"
431,Na santa escola
432,A criança consagrada
433,Cidadão dos céus
434,Somos jovens
435,"Ó meninos, estamos reunidos"
436,"Jesus Cristo, Seus fiéis, ensina"
437,"Vamos, queridos, escolher a boa parte"
438,Vamos nos preparar!
439,Cristo me ama
440,Quão ditoso é caminhar com Jesus!
441,Eu sou um cordeirinho
442,Comigo está Jesus
443,Oh! Que amor celeste!
444,"Dá-me graça, Senhor"
445,Forasteiro sou no mundo
446,Mocidade! Vamos combater!
447,"Glorificarei, glorificarei"
448,Confiemos em Deus
449,Cristo Jesus chama os Seus
450,Ajuntemos um tesouro eterno
